Date,Close
2015-11-19,13.07
2015-11-20,12.85
2015-11-23,12.12
2015-11-24,12.02
2015-11-25,11.9
2015-11-27,12.05
2015-11-30,12.04
2015-12-01,11.91
2015-12-02,11.93
2015-12-03,11.92
2015-12-04,12.04
2015-12-07,12.36
2015-12-08,12.12
2015-12-09,11.99
2015-12-10,12.05
2015-12-11,11.95
2015-12-14,12.33
2015-12-15,12.47
2015-12-16,12.27
2015-12-17,12.32
2015-12-18,12.34
2015-12-21,12.24
2015-12-22,12.46
2015-12-23,12.5
2015-12-24,12.6
2015-12-28,12.83
2015-12-29,12.74
2015-12-30,12.78
2015-12-31,13.09
2016-01-04,12.16
2016-01-05,11.51
2016-01-06,11.52
2016-01-07,11.16
2016-01-08,11.31
2016-01-11,11.84
2016-01-12,12.09
2016-01-13,11.61
2016-01-14,10.82
2016-01-15,10.27
2016-01-19,9.47
2016-01-20,9.49
2016-01-21,10.02
2016-01-22,9.85
2016-01-25,9.81
2016-01-26,9.54
2016-01-27,9.05
2016-01-28,8.74
2016-01-29,8.77
2016-02-01,8.76
2016-02-02,8.47
2016-02-03,8.43
2016-02-04,8.9
2016-02-05,8.63
2016-02-08,8.37
2016-02-09,8.62
2016-02-10,8.88
2016-02-11,8.62
2016-02-12,9.3
2016-02-16,9.93
2016-02-17,9.84
2016-02-18,9.98
2016-02-19,9.97
2016-02-22,10.38
2016-02-23,9.71
2016-02-24,9.89
2016-02-25,10.26
2016-02-26,10.32
2016-02-29,10.44
2016-03-01,10.72
2016-03-02,11.97
2016-03-03,12.25
2016-03-04,12.01
2016-03-07,12.26
2016-03-08,11.48
2016-03-09,12.03
2016-03-10,11.3
2016-03-11,11.1
2016-03-14,11.61
2016-03-15,11.95
2016-03-16,11.87
2016-03-17,11.95
2016-03-18,12.04
2016-03-21,13.4
2016-03-22,13.06
2016-03-23,12.59
2016-03-24,12.88
2016-03-28,13.4
2016-03-29,13.74
2016-03-30,15.02
2016-03-31,15.28
2016-04-01,14.22
2016-04-04,14.28
2016-04-05,14.26
2016-04-06,14.97
2016-04-07,14.81
2016-04-08,15.13
2016-04-11,15.36
2016-04-12,15.48
2016-04-13,15.01
2016-04-14,14.82
2016-04-15,14.33
2016-04-18,14.51
2016-04-19,14.09
2016-04-20,13.63
2016-04-21,13.24
2016-04-22,13.34
2016-04-25,13.59
2016-04-26,14.18
2016-04-27,14.69
2016-04-28,15.35
2016-04-29,14.89
2016-05-02,14
2016-05-03,13.45
2016-05-04,13.39
2016-05-05,13.05
2016-05-06,10.22
2016-05-09,9.85
2016-05-10,10
2016-05-11,9.68
2016-05-12,9.28
2016-05-13,9.36
2016-05-16,9.16
2016-05-17,9.18
2016-05-18,9.4
2016-05-19,9.6
2016-05-20,9.39
2016-05-23,9.46
2016-05-24,10.14
2016-05-25,10
2016-05-26,9.75
2016-05-27,9.63
2016-05-31,9.53
2016-06-01,9.6
2016-06-02,9.65
2016-06-03,9.46
2016-06-06,9.51
2016-06-07,9.57
2016-06-08,9.55
2016-06-09,9.34
2016-06-10,9.14
2016-06-13,8.92
2016-06-14,8.89
2016-06-15,9.06
2016-06-16,9.05
2016-06-17,9.04
2016-06-20,9.2
2016-06-21,9.35
2016-06-22,8.78
2016-06-23,9.13
2016-06-24,8.77
2016-06-27,8.62
2016-06-28,8.9
2016-06-29,9.3
2016-06-30,9.05
2016-07-01,9.27
2016-07-05,8.94
2016-07-06,9
2016-07-07,9.08
2016-07-08,9.3
2016-07-11,9.24
2016-07-12,9.4
2016-07-13,9.29
2016-07-14,9.37
2016-07-15,9.17
2016-07-18,9.27
2016-07-19,9.35
2016-07-20,9.58
2016-07-21,9.46
2016-07-22,9.73
2016-07-25,9.85
2016-07-26,10.1
2016-07-27,10.13
2016-07-28,10.12
2016-07-29,10.07
2016-08-01,10.19
2016-08-02,10.05
2016-08-03,10.44
2016-08-04,11.32
2016-08-05,11.15
2016-08-08,11.26
2016-08-09,11.3
2016-08-10,11.07
2016-08-11,11.37
2016-08-12,11.66
2016-08-15,11.48
2016-08-16,11.64
2016-08-17,11.4
2016-08-18,11.75
2016-08-19,11.8
2016-08-22,11.82
2016-08-23,12.39
2016-08-24,12.16
2016-08-25,12.31
2016-08-26,12.04
2016-08-29,12.01
2016-08-30,12.07
2016-08-31,12.19
2016-09-01,12
2016-09-02,12.05
2016-09-06,11.83
2016-09-07,11.93
2016-09-08,11.78
2016-09-09,11.27
2016-09-12,11.33
2016-09-13,11.23
2016-09-14,11.28
2016-09-15,11.38
2016-09-16,11.37
2016-09-19,11.55
2016-09-20,11.66
2016-09-21,11.9
2016-09-22,11.68
2016-09-23,11.83
2016-09-26,11.55
2016-09-27,11.78
2016-09-28,11.83
2016-09-29,11.64
2016-09-30,11.66
2016-10-03,11.67
2016-10-04,11.63
2016-10-05,11.69
2016-10-06,11.52
2016-10-07,11.48
2016-10-10,11.47
2016-10-11,11.18
2016-10-12,11.27
2016-10-13,11.19
2016-10-14,11.12
2016-10-17,10.93
2016-10-18,11.34
2016-10-19,11.3
2016-10-20,11.19
2016-10-21,11.32
2016-10-24,11.35
2016-10-25,11.07
2016-10-26,11.21
2016-10-27,11.15
2016-10-28,11.14
2016-10-31,11.2
2016-11-01,11.07
2016-11-02,11.78
2016-11-03,11.99
2016-11-04,12.18
2016-11-07,12.22
2016-11-08,12.34
2016-11-09,12
2016-11-10,11.65
2016-11-11,11.88
2016-11-14,12.35
2016-11-15,12.03
2016-11-16,12.04
2016-11-17,12.22
2016-11-18,12.16
2016-11-21,12.22
2016-11-22,12.46
2016-11-23,12.43
2016-11-25,12.75
2016-11-28,12.53
2016-11-29,12.46
2016-11-30,12.94
2016-12-01,12.71
2016-12-02,13.06
2016-12-05,13.2
2016-12-06,13.27
2016-12-07,14.12
2016-12-08,13.94
2016-12-09,13.89
2016-12-12,13.85
2016-12-13,14.07
2016-12-14,13.83
2016-12-15,14.13
2016-12-16,14.38
2016-12-19,14.36
2016-12-20,14.48
2016-12-21,14.38
2016-12-22,14.05
2016-12-23,14.07
2016-12-27,14
2016-12-28,13.95
2016-12-29,13.73
2016-12-30,13.63
2017-01-03,13.81
2017-01-04,14.25
2017-01-05,14.56
2017-01-06,15
2017-01-09,15.06
2017-01-10,14.91
2017-01-11,14.9
2017-01-12,14.74
2017-01-13,14.75
2017-01-17,14.69
2017-01-18,14.64
2017-01-19,14.73
2017-01-20,14.89
2017-01-23,14.61
2017-01-24,14.66
2017-01-25,14.6
2017-01-26,14.41
2017-01-27,14.53
2017-01-30,14.45
2017-01-31,14.62
2017-02-01,14.36
2017-02-02,14.36
2017-02-03,14.28
2017-02-06,14.4
2017-02-07,14.4
2017-02-08,14.47
2017-02-09,14.73
2017-02-10,14.61
2017-02-13,14.5
2017-02-14,14.33
2017-02-15,14.31
2017-02-16,13.89
2017-02-17,14.47
2017-02-21,14.63
2017-02-22,15.04
2017-02-23,17.15
2017-02-24,17.43
2017-02-27,17.93
2017-02-28,17.32
2017-03-01,17.22
2017-03-02,16.99
2017-03-03,16.89
2017-03-06,16.86
2017-03-07,16.76
2017-03-08,16.83
2017-03-09,17.07
2017-03-10,16.91
2017-03-13,16.93
2017-03-14,16.77
2017-03-15,16.95
2017-03-16,17.21
2017-03-17,17.28
2017-03-20,17.24
2017-03-21,16.51
2017-03-22,16.41
2017-03-23,16.61
2017-03-24,16.59
2017-03-27,17.25
2017-03-28,17.23
2017-03-29,17.22
2017-03-30,17.32
2017-03-31,17.28
2017-04-03,17.03
2017-04-04,17.04
2017-04-05,16.75
2017-04-06,17
2017-04-07,16.69
2017-04-10,16.99
2017-04-11,16.92
2017-04-12,17.3
2017-04-13,16.92
2017-04-17,17.08
2017-04-18,16.98
2017-04-19,17.2
2017-04-20,17.71
2017-04-21,17.49
2017-04-24,17.85
2017-04-25,18.22
2017-04-26,18.08
2017-04-27,18.23
2017-04-28,18.24
2017-05-01,18.61
2017-05-02,18.81
2017-05-03,18.28
2017-05-04,19.9
2017-05-05,19.78
2017-05-08,19.56
2017-05-09,19.8
2017-05-10,19.95
2017-05-11,19.71
2017-05-12,20.08
2017-05-15,20.25
2017-05-16,20.34
2017-05-17,19.56
2017-05-18,19.68
2017-05-19,19.91
2017-05-22,20.95
2017-05-23,21.64
2017-05-24,21.92
2017-05-25,22.33
2017-05-26,22.33
2017-05-30,22.74
2017-05-31,22.99
2017-06-01,23.23
2017-06-02,23.2
2017-06-05,23.39
2017-06-06,24.21
2017-06-07,24.29
2017-06-08,24.78
2017-06-09,23.03
2017-06-12,23.6
2017-06-13,23.48
2017-06-14,23.47
2017-06-15,23.99
2017-06-16,23.56
2017-06-19,24.2
2017-06-20,23.85
2017-06-21,24.16
2017-06-22,24.28
2017-06-23,24.17
2017-06-26,23.93
2017-06-27,23.32
2017-06-28,24.3
2017-06-29,23.4
2017-06-30,23.46
2017-07-03,22.83
2017-07-05,23.76
2017-07-06,23.22
2017-07-07,23.59
2017-07-10,23.94
2017-07-11,25.44
2017-07-12,26.21
2017-07-13,25.98
2017-07-14,26.33
2017-07-17,26.19
2017-07-18,26.59
2017-07-19,26.36
2017-07-20,26.39
2017-07-21,26.85
2017-07-24,26.75
2017-07-25,26.89
2017-07-26,27.31
2017-07-27,25.92
2017-07-28,26.2
2017-07-31,26.35
2017-08-01,26.81
2017-08-02,26.46
2017-08-03,25.22
2017-08-04,25.21
2017-08-07,25.68
2017-08-08,26.02
2017-08-09,25.59
2017-08-10,24.65
2017-08-11,24.82
2017-08-14,25.2
2017-08-15,24.83
